[SYS] 2025/04/06 - 19:05:17 | New API v0.0.0 started 
[SYS] 2025/04/06 - 19:05:17 | using MySQL as database 
[SYS] 2025/04/06 - 19:05:17 | database migration started 
[SYS] 2025/04/06 - 19:05:17 | database migrated 
[SYS] 2025/04/06 - 19:05:17 | no user exists, create a root user for you: username is root, password is 123456 
[SYS] 2025/04/06 - 19:05:18 | using MySQL as database 
[SYS] 2025/04/06 - 19:05:18 | database migration started 
[SYS] 2025/04/06 - 19:05:18 | Redis is enabled 
[SYS] 2025/04/06 - 19:05:18 | memory cache enabled 
[SYS] 2025/04/06 - 19:05:18 | sync frequency: 60 seconds 
[SYS] 2025/04/06 - 19:05:18 | channels synced from database 
[SYS] 2025/04/06 - 19:05:18 | batch update enabled with interval 5s 
[SYS] 2025/04/06 - 19:05:18 | pprof enabled 
[SYS] 2025/04/06 - 19:05:18 | 正在更新数据看板数据... 
[SYS] 2025/04/06 - 19:05:18 | 保存数据看板数据成功，共保存0条数据 
[SYS] 2025/04/06 - 19:05:18 | initializing token encoders 
[SYS] 2025/04/06 - 19:05:18 | token encoders initialized 
[SYS] 2025/04/06 - 19:05:18 | FRONTEND_BASE_URL is ignored on master node 
[SYS] 2025/04/06 - 19:05:23 | batch update started 
[SYS] 2025/04/06 - 19:05:23 | batch update finished 
[SYS] 2025/04/06 - 19:05:28 | batch update started 
[SYS] 2025/04/06 - 19:05:28 | batch update finished 
[SYS] 2025/04/06 - 19:05:33 | 任务进度轮询开始 
[SYS] 2025/04/06 - 19:05:33 | batch update started 
[SYS] 2025/04/06 - 19:05:33 | batch update finished 
[SYS] 2025/04/06 - 19:05:33 | 任务进度轮询完成 
[SYS] 2025/04/06 - 19:05:38 | batch update started 
[SYS] 2025/04/06 - 19:05:38 | batch update finished 
[GIN] 2025/04/06 - 19:05:40 | 20250406190540302614701hyhOgLG5 | 200 |     972.645µs |             ::1 |     GET /login?expired=true
[GIN] 2025/04/06 - 19:05:41 | 20250406190541604728038XrS5yAvd | 200 |    1.071467ms |             ::1 |     GET /api/status
[SYS] 2025/04/06 - 19:05:43 | batch update started 
[SYS] 2025/04/06 - 19:05:43 | batch update finished 
[SYS] 2025/04/06 - 19:05:48 | 任务进度轮询开始 
[SYS] 2025/04/06 - 19:05:48 | batch update started 
[SYS] 2025/04/06 - 19:05:48 | batch update finished 
[SYS] 2025/04/06 - 19:05:48 | 任务进度轮询完成 
[GIN] 2025/04/06 - 19:05:52 | 20250406190552857919235ByPoysvr | 200 |   96.693964ms |             ::1 |    POST /api/user/login?turnstile=
[GIN] 2025/04/06 - 19:05:53 | 2025040619055392357809ZlqqfMxp | 200 |   73.635944ms |             ::1 |     GET /api/user/models
[GIN] 2025/04/06 - 19:05:53 | 20250406190553101854628HPBsyDa3 | 200 |   83.805259ms |             ::1 |     GET /api/user/self/groups
[GIN] 2025/04/06 - 19:05:53 | 20250406190553200274080slOLQeA7 | 200 |   14.633026ms |             ::1 |     GET /api/token/?p=0&size=10
[SYS] 2025/04/06 - 19:05:54 | batch update started 
